entity,hub,out_strength
DoM,0.000157887,10
X‐Ecutioners,0.000156873,18
RubyChan's Nightcore,0.000156575,13
Packy,0.000155249,3
¥$,0.000154913,11
All Levels at Once,0.000154545,7
JerryTerry,0.000154512,4
DJ Peter Perplexe,0.000154444,20
Mac Miller,0.000154289,21
Keyboard Cat,0.00015391,1
alt‐J,0.00015391,1
satis5d,0.00015391,1
Vextor,0.00015391,1
¥ØU$UK€ ¥UK1MAT$U,0.000153748,17
Britney Spears,0.00015329,11
Vacations,0.000153278,10
Daniel Kendall,0.000152966,15
Bee Gees,0.000151952,2
DJ Peaking,0.000151941,2
DJ Firth,0.000151863,4
Racionais MC’s,0.000151661,23
KJ Mixes,0.000150443,4
TheLaxOne,0.000149967,6
Nice,0.000149019,9
Paul Oakenfold,0.000148418,32
Cut & Run,0.000148356,13
Sonnig 991,0.000148029,5
HuxP,0.000148027,2
sabi_c,0.000147658,10
Talib Kweli,0.000147438,17
Primal Scream,0.000146588,3
Desmu,0.000146572,32
Fox Sounds,0.000146455,1
Nightcore,0.000146455,1
nevermade,0.000146455,1
Tesher,0.000145339,1
Ice Spice,0.000145318,3
anosci,0.000144929,6
Minnesota,0.000144894,17
Chuck Person,0.000144581,22
The Weeknd,0.000144164,16
Overdub,0.000143955,13
Fighter X,0.000143743,6
Knife Party,0.000142435,17
Madeon,0.000142431,11
N.W.A,0.00014236,25
Alfonzopancakes,0.000142321,3
Samantha Carter,0.000141813,5
Sleaford Mods,0.000141393,43
Credit to the Nation,0.000141119,11
The UMC’s,0.00014099,30
Gil Scott‐Heron,0.000140983,5
Mt Eden,0.000140318,11
dvsn,0.000140028,12
dakooters,0.00013937,8
Kenny Jaymes,0.000139361,26
J.Period,0.000139258,11
BSOD,0.000138792,3
Will Smith,0.00013865,33
Stumbleine,0.000138424,2
Ice Cube,0.000138164,48
TheHolyT-Bo,0.000138101,2
Dave!,0.000136914,7
Musiq Soulchild,0.000136473,2
The Shapeshifters,0.000136423,1
Old Jim,0.000136032,3
PinkPantheress,0.000135772,13
4Dboy,0.000135651,4
Wrathu,0.000135262,13
slippymudman,0.000135161,2
Chris Voiceman,0.000135116,2
Senmuth,0.000135112,2
W.L.A.K.,0.000135104,1
RAIZHELL,0.000135104,1
Walt & Feliz,0.000135104,1
minuteforce,0.000135104,1
Voicedude,0.00013494,8
Hoodie Allen,0.000134505,6
GPF,0.000133842,12
Jarod Ripley,0.000133021,2
DJ DaY-mar,0.0001329,6
HITTING NOT MISSING,0.000132225,3
Big Pun,0.000131657,36
Zack Fox,0.000131519,19
DJ Surda,0.00013066,8
The Northern Boys,0.000130216,3
Fabolous,0.000129782,18
Whitetail,0.000128906,5
Dance With the Dead,0.00012847,5
Janet Jackson,0.000127586,15
huyfinn,0.000125746,2
Snowpixels,0.000125188,8
Summer Walker,0.000125015,11
dj g2g,0.000124457,4
Tristan Shout,0.00012416,2
JOYRYDE,0.000123878,18
snoritz,0.000123728,3
STV SLV,0.000123436,6
DeeM,0.000123136,2
Digitalism,0.000123062,16
elxnce,0.000122546,12
Tricky,0.000121766,15
David Begun,0.000121544,25
Thorpey,0.000120949,1
Shirobon,0.000120949,1
The Prodigy,0.000120698,93
DJ Iván Santana,0.00012068,4
Sara Farell,0.000120637,1
CRPRx,0.000120637,1
W&W,0.000120637,1
Andrewherring,0.000119968,3
61degrees,0.000119957,1
Dywindel,0.000119957,1
Smeedge,0.000119677,5
TripleBlueShell,0.000119639,11
eg_9371,0.000119448,9
Martin Pieters,0.000119342,2
iPunx,0.000119309,4
Porter Robinson,0.000119257,10
Dj CUTMAN,0.000118675,12
DAW-GUN,0.000118579,4
Goldmaster,0.00011838,4
Josip On Deck,0.000117785,10
selfworth,0.000117584,18
ARORA,0.000116824,1
FISHER,0.000116824,1
declares.,0.000116824,1
JENNIE,0.000116824,1
raytdaalz07,0.0001163,13
Strawberry 3000,0.000115711,4
CRS,0.000115698,4
Ghostface Killah,0.000114386,50
Lady Gaga,0.000113966,8
Krafty Skillz,0.000113895,4
shoopfex,0.000113794,6
Dan Mason,0.00011374,2
Raheem D,0.00011335,4
Crooklyn Clan,0.00011321,9
Stuntmasterz,0.000113128,2
Kenny Cumberland,0.000113043,2
Nina Sky,0.000112984,5
Mark E,0.000112918,6
FOR THE CVLTVRE,0.000112878,10
Annie,0.000112829,2
A Mozart,0.000112827,2
Les Sages Poètes de la Rue,0.000112826,2
DJ Wonder,0.000112822,1
The B‐52s,0.000112822,1
Initial Talk,0.000112822,1
Death Grips,0.000112556,19
Syzy,0.000111409,9
