source_track,times_sampled_by_brazil
Cement Tea — Delicious Rotting Pulsating Cookie (2020) [Brazil],1
Edilene Gomes — Sinta Ele Aí (2023) [Brazil],1
MC Fioti — Bum bum tam tam (David Guetta remix) (2018) [Brazil],1
High Fashion — You're the Winner (1982) [United States],1
Level 2 — Red Notes (2013) [Brazil],1
Gabriel Alonso — Storm (2016) [Brazil],1
Burn in Noise — Image of Yourself (2014) [Brazil],1
ATC — Around the World (La La La La La) (2000) [Germany],1
Alibi — Inception (2018) [Brazil],1
Guilherme & Benuto — 3 Batidas (2019) [Brazil],1
Unreal — Enduro (2016) [Brazil],1
Amon Tobin — The Lighthouse (2005) [Brazil],1
Pabllo Vittar — K.O. (2017) [Brazil],1
JVKE — golden hour (2022) [United States],1
Mac Lethal — Day by Day (2016) [United States],1
MC Mayara — Ai como eu tô bandida (2022) [Brazil],1
Darth & Vader — Power Trip (Scoon & Delore mix) (2013) [Brazil],1
Bungle — Looking Back (2015) [Brazil],1
Jaloo — Odoiá (In Your Eyes) (2014) [Brazil],1
Azymuth — Estrada dos deuses (1975) [Brazil],1
The Miracles — I Didn’t Realize the Show Was Over (1973) [United States],1
GUSTAVOEGATOTV — Oãdilos (2023) [Brazil],1
Earthspace — The Law Of Attraction (2017) [Brazil],1
TonyZ — Road So Far (2017) [Brazil],1
Beme — Lakshmi (2021) [Brazil],1
Devath — Softcore (2020) [Brazil],1
Pabllo Vittar — Follow Me (2022) [Brazil],1
Wanessa Camargo — Nosso som (2020) [Brazil],1
The Blackbyrds — Reggins (1974) [United States],1
Public Enemy — Bring the Noise (1987) [United States],1
Renato Cohen — Say Yes (2022) [Brazil],1
DZP — Bhangra (2017) [Brazil],1
GUSTAVOEGATOTV — VITÓRIA (2023) [Brazil],1
Cement Tea — Puddle Of Worms (2020) [Brazil],1
SPECT3R — Stfu (2022) [Brazil],1
Chipz — Story (extended mix) (2023) [Brazil],1
Alok — Deep Down (2022) [Brazil],1
Gui Boratto — Drink in Paris (2023) [Brazil],1
Digitaria — Favourite Addiction (2014) [Brazil],1
Reverence — My Heart Went Boom (2023) [Brazil],1
Gui Boratto — Human (extended mix) (2019) [Brazil],1
Jorge & Mateus — A hora é agora (2012) [Brazil],1
Bonde do Rolê — Melô do tabaco (2006) [Brazil],1
Michael Jackson — Blood on the Dance Floor (1997) [United States],1
Chico Science — Corpo de Lama (1996) [Brazil],1
Amon Tobin — Big Furry Head (2007) [Brazil],1
Amon Tobin — Ever Falling (2007) [Brazil],1
Amon Tobin — Straight Psyche (2007) [Brazil],1
Amon Tobin — Keep Your Distance (2007) [Brazil],1
Amon Tobin — Always (2007) [Brazil],1
Cement Tea — Something Broke (2020) [Brazil],1
Alibi — Directions (2019) [Brazil],1
Renard — Sinisterrrrrrrr (2009) [Canada],1
The Queenstons — Amber Starlight (2008) [Canada],1
Rotteen — Outsider (2014) [Canada],1
Adraen — Contact (2009) [Canada],1
Mayhem — Eggs (2008) [Canada],1
Kitsune² — The Steel Monster Above The City (2007) [Canada],1
Jackal Queenston — Set Me Free (Uplift remix) (2009) [Canada],1
Furries in a Blender — Hardcore Disco (2007) [Canada],1
Renard — Objection (2007) [Canada],1
Mayhem — It's Murder (2009) [Canada],1
Renard — Banned Forever (2020) [Canada],1
Klippa — Arcadepunk (2011) [Canada],1
Kitcaliber — Vultures (2012) [(unknown)],1
Gal Costa — Lágrimas negras (1974) [Brazil],1
Bebel Gilberto — Alguém (2000) [Brazil],1
Paulinho Moska — Falsa Baiana (2000) [Brazil],1
Fourth World — Fica Mal Com Deus (2000) [Brazil],1
Ricardo Donoso — The Sphinx (2013) [Brazil],1
Ricardo Donoso — Affirmation (2013) [Brazil],1
Geto Boys — Mind Playing Tricks on Me (1991) [United States],1
The Rolling Stones — Satisfaction (2012) [United Kingdom],1
"Bob Marley & The Wailers — Get Up, Stand Up (1998) [Jamaica]",1
Chico Buarque — Cálice (1978) [Brazil],1
N.W.A — Appetite for Destruction (2002) [United States],1
Geraldo Vandré — Pra não dizer que não falei das flores (-1) [Brazil],1
Justin Bieber — Beauty and a Beat (2012) [Canada],1
Gusttavo Lima — Fui fiel (2014) [Brazil],1
高坂穂乃果 — START:DASH!! (2013) [Japan],1
Chico Science — Macô (1996) [Brazil],1
Cement Tea — Akari The Timetraveler (2020) [Brazil],1
Gui Boratto — Like You (original mix) (2006) [Brazil],1
Kurup — Tempestade (2019) [Brazil],1
Vintage Culture — Just Like Home (2024) [Brazil],1
Bebel Gilberto — All Around (2004) [Brazil],1
Cement Tea — Marimba (2020) [Brazil],1
nocapz. — Deja Vu (extended mix) (2024) [Brazil],1
Sérgio Mendes & Brasil ’66 — So Many Stars (1967) [Brazil],1
Wanessa Camargo — Vou lembrar (2019) [Brazil],1
Aretuza Lovi — Vagabundo (2017) [Brazil],1
