entity,authority,in_strength
prodby668,9.84667e-09,1
The Horace Silver Quintet,9.83687e-09,2
Gene Harris & The Three Sounds,9.77548e-09,2
The Ledgends,9.77507e-09,1
McKendree Spring,9.70236e-09,1
Kenny Nolan,9.70236e-09,1
Vince DiCola,9.66791e-09,5
Wall of Voodoo,9.66467e-09,1
Nektar,9.66467e-09,1
ササキトモコ,9.65214e-09,2
Priscilla Herdman,9.63619e-09,1
mihomi,9.57801e-09,1
YOOKiE,9.44107e-09,1
Shayne Ward,9.42163e-09,5
Smokey Brooks,9.41859e-09,1
Monk & Canatella,9.41859e-09,1
Ken Thorne,9.41859e-09,1
Johnnie Ray,9.41859e-09,1
APG550,9.36007e-09,1
Marten Hørger,9.35348e-09,3
Mafia Kiss,9.35309e-09,2
アンメルツP,9.34173e-09,10
The Bilinda Butchers,9.33757e-09,1
Hi-Five,9.33757e-09,1
橋本由香利,9.31929e-09,1
Hearts2Hearts,9.19724e-09,3
Blak Twang,9.07602e-09,1
Marcia Griffiths,9.07602e-09,1
Nixon,9.06596e-09,2
Bonnie Dobson,9.04678e-09,2
Gescom,9.03586e-09,2
Push Button Objects,9.03549e-09,1
Edge of Motion,9.03549e-09,1
Impulse,9.03549e-09,1
Disjecta,9.03549e-09,1
Lexis,9.03549e-09,1
Slowly,9.03549e-09,1
J.Period,9.00053e-09,1
Sơn Tùng M-TP,8.95438e-09,2
Kay Trần,8.95401e-09,1
Phan Mạnh Quỳnh,8.95401e-09,1
GAYLE,8.86685e-09,1
Plumb,8.86348e-09,1
Chris Rea,8.85423e-09,1
Unreal,8.84966e-09,2
でぃすとーしょん,8.84444e-09,1
Galimatias,8.84123e-09,2
Grimm,8.84086e-09,1
Fred V & Grafix,8.84086e-09,1
Whiney,8.84086e-09,1
Dawn Wall,8.84086e-09,1
BCee,8.84086e-09,1
Etherwood,8.84086e-09,1
Dimension,8.84086e-09,1
JOME,8.84086e-09,1
High Contrast,8.84086e-09,1
Pola & Bryson,8.84086e-09,1
טונה,8.83236e-09,1
Art Pepper,8.83236e-09,1
J.Views,8.83236e-09,1
DJ Jörg,8.83236e-09,1
דודו טסה,8.83236e-09,1
Gänsehaut,8.79858e-09,1
Kristi Kara,8.79858e-09,1
Dennis und die wilde 13,8.79858e-09,1
Snäp!,8.79858e-09,1
Deutsch Amerikanische Freundschaft,8.79858e-09,1
FEE,8.79858e-09,1
Rheingold,8.79858e-09,1
Herwig Mitteregger,8.79858e-09,1
Monopol,8.79858e-09,1
Steinwolke,8.79374e-09,2
Combo Colossale,8.79337e-09,1
Markus,8.79337e-09,1
Shut Up and Dance,8.79303e-09,3
Rche,8.78544e-09,1
Cellardore,8.77883e-09,2
Daze Prism,8.77883e-09,2
Vypes,8.75481e-09,2
Orginal Buam,8.75261e-09,3
Wally Badarou,8.73965e-09,4
Willie Colón,8.71741e-09,3
Gino Soccio,8.70604e-09,4
William Sheller,8.65368e-09,1
Sesame Street,8.65368e-09,1
The Poppy Family,8.65368e-09,1
Vicente Fernández,8.65368e-09,1
The Hooterville Trolley,8.65368e-09,1
The Real Thing,8.65332e-09,3
Merm4id,8.63816e-09,1
絢瀬絵里,8.63816e-09,1
A-RISE,8.63816e-09,1
CYaRon!,8.63816e-09,1
Moe Koffman,8.63402e-09,1
Jasmine Cephas‐Jones,8.63402e-09,1
戌神ころね,8.60123e-09,2
Epsilon,8.58391e-09,2
Key,8.58103e-09,2
Rita,8.58067e-09,1
Muslimgauze,8.57353e-09,2
Digital Emotion,8.57172e-09,1
X‐Ray Connection,8.57172e-09,1
Trans‐X,8.57172e-09,1
The McCoys,8.57172e-09,1
"Black Country, New Road",8.50727e-09,1
Yunggt3z,8.50727e-09,1
the Microphones,8.50727e-09,1
Farrah Abraham,8.50727e-09,1
Nozomu Matsumoto,8.50727e-09,1
YAYAYI,8.50727e-09,1
Les Sages Poètes de la Rue,8.44425e-09,1
Simon Carrington,8.40914e-09,3
Fairport Convention,8.39241e-09,2
Ambitious Lovers,8.39206e-09,1
Dick Haymes,8.39206e-09,1
Don Ray,8.39206e-09,1
Иван Купала,8.3689e-09,12
Жуки,8.36504e-09,1
Sheila Armstrong,8.34419e-09,6
Najee,8.32987e-09,1
Kitty,8.29372e-09,1
dvsn,8.27816e-09,2
24kGoldn,8.27781e-09,1
Classical M,8.22398e-09,1
The Panicks,8.22398e-09,1
Tarkus,8.22398e-09,1
Bessie Smith,8.09972e-09,2
The Night Writers,8.05682e-09,3
London Posse,8.05547e-09,1
Man Parrish,8.05547e-09,1
Sweet D,8.05547e-09,1
On the House,8.05547e-09,1
José González,7.98063e-09,2
Monsters of Folk,7.8676e-09,1
Swing Out Sister,7.8676e-09,1
Joanna Newsom,7.8676e-09,1
Blackrock,7.8676e-09,1
Machine,7.78514e-09,2
James Mason,7.78481e-09,1
Komputer,7.78156e-09,1
Brother + Sister,7.78156e-09,1
Abbey Lincoln,7.78156e-09,1
Luiz Henrique,7.69977e-09,4
Maísa Silva,7.65173e-09,1
3dNOW,7.65173e-09,1
天気予報,7.65173e-09,1
Letherette,7.65173e-09,1
Mainx,7.62459e-09,3
hummingdeath,7.56602e-09,1
Scarlxrd,7.56194e-09,1
Breach,7.56194e-09,1
Harumi,7.48625e-09,3
Cab Calloway,7.47162e-09,2
Antoine Duhamel,7.47131e-09,1
김완선,7.44544e-09,1
The Watts Prophets,7.40724e-09,1
Piebald,7.37639e-09,1
Lords of Acid,7.35028e-09,1
Erich Kunzel,7.34986e-09,1
Robert Parker,7.34986e-09,1
Group Home,7.33365e-09,1
Jacques Brel,7.33365e-09,1
weish,7.30397e-09,1
Gloria Barnes,7.30397e-09,1
The New Stan Getz Quartet,7.28637e-09,2
山本邦山,7.2855e-09,2
Derrick May,7.27345e-09,2
Intoxicated,7.20485e-09,1
許冠傑,7.20485e-09,1
Ollie & Jerry,7.20485e-09,1
本間勇輔,7.14485e-09,5
Lon Bender,7.09908e-09,1
Claude Dubois,7.09908e-09,1
Jerry Lee Lewis,7.06681e-09,4
Eddie Cochran,7.06533e-09,1
The Big Bopper,7.06533e-09,1
Chris Montez,7.06533e-09,1
Roy Wood,7.06533e-09,1
Dion,7.06533e-09,1
Montana,6.99937e-09,1
Denroy Morgan,6.99937e-09,1
Matt Keating,6.97286e-09,1
Prisonshake,6.97286e-09,1
The Colorblind James Experience,6.97286e-09,1
Roger Waters,6.9315e-09,5
Synthion,6.91288e-09,3
Midas Touch,6.8527e-09,1
timey/wimey,6.67219e-09,1
Plattenpapzt,6.6444e-09,2
DJ Tomekk,6.6444e-09,2
La Familia,6.64413e-09,1
Marius Müller‐Westernhagen,6.64413e-09,1
I.L.L. Will,6.64413e-09,1
Spiritual Warriors,6.64413e-09,1
Klippa,6.62362e-09,2
Adraen,6.62335e-09,1
Kitcaliber,6.62335e-09,1
Conrad & The Hurricane Strings,6.59056e-09,1
Jacob Miller,6.5754e-09,3
Al Campbell,6.57512e-09,2
Thelonious Monster,6.52121e-09,1
Peter Thomas Sound Orchestra,6.50694e-09,2
Sevdaliza,6.50104e-09,1
Ikkimel,6.50104e-09,1
Elley Duhé,6.50104e-09,1
Ascendant Vierge,6.50104e-09,1
Technical Difficulties,6.50057e-09,1
Shock,6.50057e-09,1
Darbo,6.50057e-09,1
大塚愛,6.48523e-09,5
The 2 Bears,6.47384e-09,1
John Abercrombie,6.46737e-09,2
"Choir of Clare College, Cambridge",6.44779e-09,1
Fire,6.44779e-09,1
Burial Hex,6.40015e-09,2
Elkka,6.37468e-09,1
François Muduga,6.37468e-09,1
Roy of the Ravers,6.37468e-09,1
Moonchild Sanelly,6.37468e-09,1
Zola Jesus,6.37468e-09,1
Sisso,6.37468e-09,1
DJ Haram,6.37468e-09,1
Judgitzu,6.37468e-09,1
Das Krause Duo,6.37468e-09,1
Sylvere,6.37468e-09,1
Tshegue,6.37468e-09,1
Two Shell,6.37468e-09,1
Sho Madjozi,6.37468e-09,1
Confidence Man,6.37468e-09,1
The Modern Institute,6.37468e-09,1
Maddalena Fagandini,6.37468e-09,1
Bruce Haack,6.37468e-09,1
DJ Travella,6.37468e-09,1
Journey to Ixtlan,6.37468e-09,1
Debmaster,6.37468e-09,1
Shackleton,6.37468e-09,1
Clara!,6.37468e-09,1
The Jammers,6.34066e-09,2
Holy Ghost Inc.,6.3404e-09,1
Lemon Sol,6.3404e-09,1
Abstract Minds,6.3404e-09,1
Rhythmatic,6.3404e-09,1
Daydreamer,6.3404e-09,1
XXDarkShadow79XX,6.30364e-09,1
Psychemagik,6.30116e-09,1
Gary Low,6.30116e-09,1
Smooth,6.29062e-09,1
Bubblegum Octopus,6.28477e-09,1
Buddy Richard,6.26368e-09,1
CYNE,6.26368e-09,1
Ilaria Graziano,6.25655e-09,1
J.D.S.,6.25655e-09,1
☺,6.25655e-09,1
Livin’ Joy,6.25655e-09,1
Édith Piaf,6.25245e-09,3
Nick Smalley,6.20054e-09,2
Blue Boy,6.15286e-09,1
Drumattic Twins,6.15286e-09,1
Jane Birkin,6.13428e-09,1
ILLIT,6.13175e-09,3
Pizzaman,6.06639e-09,2
Logo,6.05997e-09,1
Yaeji,6.04879e-09,2
Marlon,6.04003e-09,1
Bullet,5.99508e-09,1
Christian McBride,5.99508e-09,1
Hazhe,5.99508e-09,1
Peter Metro,5.9569e-09,1
Piero Piccioni,5.92277e-09,3
Cornell Campbell,5.90005e-09,2
ハッピーくるくる,5.88245e-09,3
Ruiness,5.87097e-09,1
ElectroKaplosion,5.87097e-09,1
Silver Note,5.87097e-09,1
Crusader!,5.87097e-09,1
Ponky,5.87097e-09,1
PhonyBrony,5.87097e-09,1
The Wonderbolts!,5.87097e-09,1
BlueBrony,5.87097e-09,1
The Wasteland Wailers,5.87097e-09,1
Saint Tropez,5.84524e-09,1
The Andrea True Connection,5.81704e-09,1
Redeilia,5.79864e-09,1
VALENTINE,5.79864e-09,1
lilbesh ramko,5.79864e-09,1
"nothing,nowhere.",5.79864e-09,1
AFK,5.79864e-09,1
Becko,5.79864e-09,1
結束バンド,5.79864e-09,1
Wavedash,5.79864e-09,1
NerdOut,5.75328e-09,1
Carey Johnson,5.74325e-09,1
Laura Olsher,5.72525e-09,1
The 4 Instants,5.72525e-09,1
DJ Electrohead,5.69924e-09,1
Johnny Crockett,5.67925e-09,1
Richard Grey,5.67925e-09,1
Pinch,5.65948e-09,2
Cardopusher,5.65944e-09,2
Airhead,5.6592e-09,1
Rob Sparx,5.6592e-09,1
Dev79,5.6592e-09,1
Charlie P.,5.6592e-09,1
The Sun Ra Arkestra,5.62085e-09,2
Lew Howard All Stars,5.62062e-09,1
Mort Stevens and His Orchestra,5.62062e-09,1
Waldir Calmon,5.62062e-09,1
Secret Service,5.58737e-09,1
Allan Holdsworth,5.58737e-09,1
Bruford,5.58737e-09,1
Digital Orgasm,5.57029e-09,2
Norma Jean Wright,5.54948e-09,2
Ray Barretto,5.54562e-09,2
InI,5.54539e-09,1
Gert Wilden & Orchestra,5.52375e-09,2
Skylark,5.51195e-09,1
Gals and Pals,5.51195e-09,1
הצ׳רצ׳ילים,5.51195e-09,1
The Almighty RSO,5.50225e-09,1
Pooh Man,5.50225e-09,1
Ten City,5.50225e-09,1
East Side Beat,5.50225e-09,1
Moek,5.50021e-09,1
Amsterdamse Politiekapel,5.50021e-09,1
Cor Swanenberg,5.50021e-09,1
Willy Alberti,5.50021e-09,1
Tréveris,5.50021e-09,1
Thieu Sijbers,5.50021e-09,1
Guuske Kotte,5.50021e-09,1
The Jack Lester Special Band,5.50021e-09,1
Jan Foolen,5.50021e-09,1
De Wambergers,5.50021e-09,1
Linnegoewd,5.50021e-09,1
Johan,5.50021e-09,1
Huub Van Grinsven,5.50021e-09,1
Niek Stein,5.50021e-09,1
James Galway,5.48454e-09,3
Chris Hülsbeck,5.47765e-09,1
Ultra-Sonic,5.47765e-09,1
Pete Lazonby,5.47765e-09,1
Hodgy,5.47358e-09,1
Pulsedriver,5.3982e-09,1
Earl Nightingale,5.37357e-09,1
Captain Ironhelm,5.3633e-09,1
Bartekko,5.3633e-09,1
Sonic Breakbeat,5.3633e-09,1
Matthew N.,5.3633e-09,1
MRPPony,5.3633e-09,1
UnderKeel,5.3633e-09,1
Metapony,5.3633e-09,1
Obrum,5.3633e-09,1
ArcaneSoul,5.3633e-09,1
PAS TASTA,5.3295e-09,2
Colatron,5.29284e-09,3
Luciano Berio,5.21597e-09,1
電音部,5.18744e-09,51
Renn Woods,5.1786e-09,1
Stacey Q,5.11319e-09,9
Michel Legrand,5.10611e-09,3
Grupo Bahía,5.09212e-09,1
Baraka,5.07126e-09,1
Dr. Alimantado,5.06648e-09,1
Linda Scott,5.06648e-09,1
Stooki Sound,5.03139e-09,1
Big Mike,4.99111e-09,2
Stephen Stills,4.96479e-09,2
Bobby Hutcherson,4.91864e-09,2
Art Blakey,4.91843e-09,1
John Patton,4.91843e-09,1
Crosby & Nash,4.88932e-09,1
Dalida,4.88932e-09,1
F.R. David,4.86442e-09,2
The Boomtown Rats,4.85096e-09,1
Nintendo EAD Sound Group,4.82587e-09,1
Aweminus,4.8224e-09,3
Pierce the Veil,4.81883e-09,2
Spice,4.81862e-09,1
Twilight Sparkle,4.80523e-09,1
Rebecca Shoichet,4.80523e-09,1
Sincerely Antique,4.74356e-09,1
Gayngs,4.74356e-09,1
Ali Farka Touré,4.74356e-09,1
The Joneses,4.74356e-09,1
Kill Sadie,4.74356e-09,1
Baxter,4.74356e-09,1
Song of Zarathustra,4.74356e-09,1
BREAD & BUTTER,4.71751e-09,1
オノマトペ大臣,4.71751e-09,1
Left/Right,4.67655e-09,1
Badjokes,4.67655e-09,1
Mr. Reds,4.67655e-09,1
MACE,4.67655e-09,1
Wes Smith,4.67655e-09,1
Pirate Jams,4.67655e-09,1
Marky Mark and the Funky Bunch,4.67655e-09,1
Common Underground,4.67655e-09,1
Iceberg Slim,4.66169e-09,1
The Vibrettes,4.65728e-09,1
Harolyn Blackwell,4.63403e-09,1
Lead Belly,4.62114e-09,2
Zimbo Trio,4.62095e-09,1
Ultra High Frequency,4.5979e-09,3
Horace Andy,4.57223e-09,2
Leroy Smart,4.57204e-09,1
Jackie Mittoo,4.57204e-09,1
Philip Frazier,4.57204e-09,1
Earl Zero,4.57204e-09,1
Rod Taylor,4.57204e-09,1
Slim Smith,4.57204e-09,1
Dennis Alcapone,4.57204e-09,1
Zachary Herbst,4.5354e-09,1
longstoryshort,4.53453e-09,1
Xavi&Gi,4.51006e-09,1
Daddy‐O,4.5017e-09,1
Monty Norman,4.5017e-09,1
Spaghetti Surfers,4.47982e-09,1
Rollo Goes Mystic,4.47982e-09,1
Mrs. Wood,4.47982e-09,1
The Original,4.47982e-09,1
Alex Party,4.47982e-09,1
Our House,4.47982e-09,1
Praxis,4.47982e-09,1
The Ethics,4.47982e-09,1
Diss-Cuss,4.47982e-09,1
Hi‐Lux,4.47982e-09,1
Wink,4.47982e-09,1
The Reese Project,4.47982e-09,1
Gladezz,4.47982e-09,1
Ջիվան Գասպարյան,4.47798e-09,2
Johnny Moore’s Three Blazers,4.47779e-09,1
大久保博,4.47153e-09,9
The Philadelphia Orchestra,4.46749e-09,4
Toby Romeo,4.46106e-09,1
Sabb,4.44852e-09,2
Lance DeSardi,4.44833e-09,1
Veerus & Maxie Devine,4.44833e-09,1
Fritz Carlton,4.44833e-09,1
Juliet Fox,4.44833e-09,1
Tiger Stripes,4.44833e-09,1
KiNK,4.44833e-09,1
Marc Marzenit,4.44833e-09,1
Mickey,4.44833e-09,1
Russ Chimes,4.44833e-09,1
Gewelt,4.44833e-09,1
Copy Paste Soul,4.44833e-09,1
Crom & Thanh,4.44833e-09,1
SHADED,4.44833e-09,1
Kaily,4.44833e-09,1
Andrew Davenport,4.42819e-09,1
Dandy Livingstone,4.41902e-09,1
Advanced Chemistry,4.41643e-09,2
CUS,4.41624e-09,1
Foamo,4.3896e-09,2
Obscene Frequenzy,4.38941e-09,1
Womba,4.38941e-09,1
Ink Project,4.38941e-09,1
De Nada,4.38941e-09,1
Echo Knight,4.38941e-09,1
Crawford,4.38941e-09,1
Morelia,4.38941e-09,1
Figures of Eighty,4.38941e-09,1
Tyler Clacey,4.38941e-09,1
Taiki Nulight,4.38941e-09,1
Worthy,4.38941e-09,1
So Schway,4.38941e-09,1
A.Motion,4.38941e-09,1
Pelikann,4.38941e-09,1
The Corporation,4.38941e-09,1
Gabe,4.38941e-09,1
Khésis,4.38941e-09,1
Taim,4.38941e-09,1
SaidWho,4.38941e-09,1
Lemon,4.37845e-09,1
Volition,4.37741e-09,1
Luca,4.37741e-09,1
Theatrix,4.37741e-09,1
Richter,4.37741e-09,1
Corrupted Mind,4.37741e-09,1
Matt Neux,4.37741e-09,1
Zeal,4.37741e-09,1
Battletek,4.37741e-09,1
Matys,4.37741e-09,1
Mojay,4.37741e-09,1
Coastal,4.37741e-09,1
R.M,4.37717e-09,1
Slim Hustla,4.37717e-09,1
Mall Grab,4.37717e-09,1
Hans Albers,4.37612e-09,1
Die Wildecker Herzbuben,4.37612e-09,1
René Carol,4.3752e-09,1
Nusrat Fateh Ali Khan,4.3752e-09,1
Christopher Tin,4.37484e-09,1
Christopher Williams,4.35135e-09,1
原口沙輔,4.34184e-09,1
The DJ Producer,4.32177e-09,2
Elizabeth Rose Bloodflame,4.30657e-09,2
ナナヲアカリ,4.3008e-09,1
リゼ・ヘルエスタ,4.3008e-09,1
Couple N,4.3008e-09,1
Natalie Bergman,4.29254e-09,1
Maladroit,4.29195e-09,1
Xian,4.29195e-09,1
Suicidal Rap Orgy,4.29195e-09,1
Toecutter,4.29195e-09,1
Syndicate,4.29195e-09,1
Misanthrope,4.29195e-09,1
Dokaka,4.29195e-09,1
エミリア,4.29104e-09,1
青山テルマ,4.29104e-09,1
Amuxax,4.29033e-09,1
美波,4.29033e-09,1
Niney the Observer,4.27275e-09,1
Said El Kurdi,4.27275e-09,1
Jerry “Boogie” McCain,4.27275e-09,1
David Gilmour,4.1589e-09,3
Phil RetroSpector,4.12713e-09,9
Ultimate III,4.1015e-09,1
Mark B & Blade,4.1015e-09,1
D.I.T.C.,4.09267e-09,1
Le Bal Brotto Lopez,4.07857e-09,1
Jeff Wayne,4.06869e-09,4
Hookfoot,4.06567e-09,1
Eddie Hodges,4.06567e-09,1
Special Forces,4.04907e-09,1
吉冨亮二,4.0389e-09,3
Ralphi Rosario,3.94786e-09,4
Gary’s Gang,3.94778e-09,4
Cyrus,3.91145e-09,5
Babe Instinct,3.90515e-09,2
Noel Pointer,3.76533e-09,1
Judy Cheeks,3.69854e-09,2
Artemas,3.6972e-09,3
Tone,3.67968e-09,1
Polarkreis 18,3.66134e-09,1
boy pablo,3.65603e-09,2
The Road Home,3.64275e-09,1
Maniac,3.60834e-09,4
Aritus,3.57363e-09,2
Black Riot,3.54107e-09,2
Neiltomo,3.52856e-09,2
Starcluster,3.51327e-09,2
The Hasbeens,3.51327e-09,2
Xeno & Oaklander,3.51312e-09,1
Ian Boddy,3.51312e-09,1
Lovelock,3.51312e-09,1
Mistral,3.51312e-09,1
Phochos,3.51312e-09,1
Scratch Massive,3.51312e-09,1
Gabriel Yared,3.42123e-09,2
La Cliqua,3.41781e-09,2
Bou,3.41124e-09,1
Van McCoy & The Soul City Symphony,3.40514e-09,3
Unique,3.40457e-09,1
Jerome Moross,3.40457e-09,1
Steinski and Mass Media,3.39749e-09,2
Gene and Jim Are Into Shakes,3.39734e-09,1
Myra Barnes,3.39633e-09,1
Babe Ruth,3.39633e-09,1
Vicki Anderson,3.39633e-09,1
Morat,3.34558e-09,1
Bad Bunny,3.34558e-09,1
Freestyle,3.31321e-09,1
Ravi Shankar,3.30989e-09,1
Otis Gayle,3.28756e-09,1
Love Corporation,3.25357e-09,1
Unique 3,3.25357e-09,1
Badder Than Evil,3.25357e-09,1
Power House,3.25357e-09,1
Dannii Minogue,3.22195e-09,1
Groove Theory,3.22195e-09,1
d.notive,3.2159e-09,2
MIU,3.21351e-09,1
CHOPS,3.17399e-09,1
Robert Armani,3.16898e-09,2
Skipworth & Turner,3.16728e-09,1
Nino Bravo,3.15819e-09,3
Codona,3.14e-09,2
Jesse Anderson,3.08514e-09,1
Ananda Shankar,3.08514e-09,1
XG,3.06575e-09,1
RESCENE,3.06575e-09,1
Ékoué,3.02806e-09,1
Benny Page,3.01837e-09,3
Random Rab,3.00494e-09,2
CloZinger,3.00481e-09,1
Lil’Fish,3.00481e-09,1
Warren Kime,2.9798e-09,1
The Briefs,2.96037e-09,1
Mary Lattimore,2.96037e-09,1
Scanners,2.95383e-09,1
Nomad,2.94215e-09,1
Jump,2.94215e-09,1
Nitro Deluxe,2.94215e-09,1
伊藤真澄,2.93124e-09,1
Autodidactic Studios,2.92642e-09,1
Glen Brown,2.91927e-09,1
Lighthouse Family,2.91927e-09,1
Tasmin Archer,2.91927e-09,1
Honeyz,2.91927e-09,1
Samantha Mumba,2.91927e-09,1
Deep West,2.87254e-09,2
AIKA,2.86669e-09,2
Aaron Cherof,2.86657e-09,1
Klique,2.83313e-09,1
菊池桃子,2.83313e-09,1
Ornette Coleman,2.82565e-09,1
Michael Howell,2.82565e-09,1
Robin Kenyatta,2.82565e-09,1
Charlie Mariano,2.82565e-09,1
Michael White,2.82565e-09,1
吉谷彩子,2.82497e-09,2
Acoustic Alchemy,2.79737e-09,3
Yemi Alade,2.77916e-09,1
Uncle Murda,2.77916e-09,1
An Endless Sporadic,2.77916e-09,1
Specifics,2.77916e-09,1
荘司朗,2.77653e-09,1
Ike Turner & the Kings of Rhythm,2.77462e-09,1
Sid LeRock,2.77345e-09,1
Richard Wright,2.7726e-09,2
Nick Mason,2.7726e-09,2
nuages,2.75306e-09,2
The Pentangle,2.70551e-09,2
The Pyramids,2.7054e-09,1
Pete Seeger,2.7054e-09,1
Elkie Brooks,2.7054e-09,1
Tracy Chapman,2.70023e-09,2
Dazey and the Scouts,2.6959e-09,1
Francis Cabrel,2.69153e-09,2
Norrin_Radd,2.68074e-09,1
星宮とと,2.67608e-09,12
Michel Magne,2.66968e-09,1
MC Cool Rock & MC Chaszy Chess,2.66968e-09,1
Bushy B,2.66968e-09,1
Lukid,2.66968e-09,1
leroy,2.66486e-09,2
Kabanagu,2.66475e-09,1
Zazie,2.64967e-09,1
Kyo,2.64967e-09,1
Au p’tit bonheur,2.64967e-09,1
Georges Brassens,2.64967e-09,1
Jean‐Jacques Goldman,2.64967e-09,1
Jean-Pierre François,2.64967e-09,1
Paul Lansky,2.64688e-09,1
Arthur Kreiger,2.64688e-09,1
MELL,2.64348e-09,3
George Bruns,2.61477e-09,2
Young Magic,2.61423e-09,2
Melissa Manchester,2.60186e-09,2
Cleveland Lounge,2.60098e-09,2
Philip Glass Ensemble,2.5979e-09,4
Bear McCreary,2.56873e-09,1
Aethral,2.56372e-09,2
鈴木さえ子,2.54959e-09,1
Future Islands,2.54959e-09,1
Marion Black,2.54784e-09,1
Lol Coxhill,2.54784e-09,1
Cris Williamson,2.54784e-09,1
Dz'Xa,2.54262e-09,1
Annoying Ringtone,2.54262e-09,1
ShyRin Mochimomiji,2.54262e-09,1
J-CORE SLiCER,2.54262e-09,1
Electric Company,2.53352e-09,1
Cex,2.53352e-09,1
梶芽衣子,2.53232e-09,1
Duralcha,2.51884e-09,1
Allen Ginsberg,2.48686e-09,2
The Beginerz,2.48046e-09,1
Natural Touch,2.44836e-09,1
Atlas Earth,2.44427e-09,1
Nuclear Hyde,2.43866e-09,2
Mashmakhan,2.43593e-09,1
Night Tempo,2.40683e-09,3
小林オニキス,2.35599e-09,2
Paperclip People,2.34697e-09,4
Gimpson,2.33693e-09,1
Booty Luv,2.33111e-09,1
Sebastian Ingrosso,2.32119e-09,1
Rockets,2.31801e-09,2
Bruce Patch,2.31792e-09,1
Q-Feel,2.31792e-09,1
À La Carte,2.31792e-09,1
The Members,2.31792e-09,1
THP Orchestra,2.31792e-09,1
Final Edition,2.31792e-09,1
Burgess Meredith,2.30409e-09,1
Greg Nice,2.29959e-09,1
Edmundo Ros and His Orchestra,2.27993e-09,2
eLan,2.2689e-09,1
Apparat,2.2689e-09,1
2562,2.2689e-09,1
Anstam,2.2689e-09,1
Blue Iverson,2.2678e-09,1
The Equatics,2.2678e-09,1
The Ruts,2.22448e-09,1
The California Poppy Pickers,2.21686e-09,1
Five Star,2.21141e-09,1
Rare Pleasure,2.19454e-09,2
Meemo Comma,2.16088e-09,1
DESURABBITS,2.14745e-09,9
AgileDash,2.14501e-09,1
Alsarah & the Nubatones,2.14193e-09,1
EPO,2.14193e-09,1
Mina,2.14193e-09,1
Wojciech Kilar,2.14193e-09,1
Putrefy Factor 7,2.14193e-09,1
Musique,2.14175e-09,3
Country Joe McDonald,2.14098e-09,2
Scred Connexion,2.12995e-09,1
Rockin’ Squat,2.12995e-09,1
2 Bal Niggets,2.12995e-09,1
Stanley Cowell Trio,2.12437e-09,1
Alfred 23 Harth,2.12437e-09,1
Constant Deviants,2.12437e-09,1
Gerry Mulligan,2.12437e-09,1
Gauge,2.12437e-09,1
Lolishit,2.09369e-09,4
Masayoshi Minoshima,2.09173e-09,20
Ripple,2.05722e-09,2
Josephine Foster,2.04256e-09,1
Anímic,2.03909e-09,1
Cubenx,2.03909e-09,1
Débruit,2.03909e-09,1
Enric Barbat,2.03909e-09,1
J.D. Blackfoot,2.02891e-09,1
Sir Lord Baltimore,2.02891e-09,1
Flash,2.02891e-09,1
The Jerry Hahn Brotherhood,2.02891e-09,1
Rory Gallagher,2.02891e-09,1
Wigwam,2.02891e-09,1
Badger,2.02891e-09,1
The Bob Seger System,2.02891e-09,1
Stevie Wright,2.02891e-09,1
どついたるねん,2.01279e-09,1
Gene Page,1.9793e-09,2
My Mine,1.92166e-09,1
Bama,1.91157e-09,1
The Mouseketeers,1.89491e-09,2
Louis Prima,1.89483e-09,1
Valerie Davis,1.89483e-09,1
Pete Schofield and the Canadians,1.87637e-09,1
Бутырка,1.87637e-09,1
Lennie Hibbert,1.85864e-09,2
Riff Raff,1.85856e-09,1
Gary Wilson,1.85856e-09,1
Mighty Flames,1.85856e-09,1
La Mont Zeno Theatre,1.85856e-09,1
Rob $tone,1.84966e-09,1
Lo Key,1.84966e-09,1
MC Money,1.84966e-09,1
Harold Budd,1.8395e-09,3
Owain,1.82818e-09,1
笠原弘子,1.82818e-09,1
Gus Dapperton,1.82801e-09,1
Catch My Soul,1.82801e-09,1
Mac DeMarco,1.82801e-09,1
Levity,1.80532e-09,1
The Chameleon,1.78772e-09,3
Rhodes Rodosu,1.78681e-09,1
RoBKTA,1.78681e-09,1
悲しい Android Apartment,1.78681e-09,1
GH,1.78681e-09,1
Jelly BonBon,1.78681e-09,1
Cero Rio,1.78681e-09,1
Digital Waves,1.78681e-09,1
Wee Papa Girl Rappers,1.77823e-09,1
K.I.D.,1.77823e-09,1
St. Regis,1.77823e-09,1
Voicedude,1.76428e-09,1
G3RSt,1.76428e-09,1
ToToM,1.76428e-09,1
RIAA,1.76428e-09,1
London Philharmonic Orchestra,1.75257e-09,6
Jupiter,1.74733e-09,2
DJ Madd,1.74e-09,4
Richie Brains,1.73956e-09,2
Surly,1.73956e-09,2
A Guy Called Gerald,1.73677e-09,3
Bent,1.73647e-09,1
Substance,1.67239e-09,2
Boobie Knight & the Soulciety,1.66286e-09,1
Devlin,1.65622e-09,1
Silverstein,1.6376e-09,2
Sarah Hopkins,1.6323e-09,1
Ray Brown,1.6323e-09,1
Paso Doble,1.60365e-09,2
Ina Deter Band,1.60131e-09,1
Orlando Julius,1.60088e-09,1
Toney Lee,1.59872e-09,5
The Delgados,1.58563e-09,1
Stanley Cowell,1.57312e-09,1
Quadrant,1.56458e-09,2
三留尚子,1.55742e-09,1
Willi Ninja,1.55482e-09,1
