entity,pagerank_rev,out_strength
Future Funk Monthly,0.000147999,12
DJ Peter Perplexe,0.000147812,20
Orbital,0.000147218,28
Anoiysz,0.000147079,10
Skream,0.000146639,19
SAINT PEPSI,0.000146262,20
Shingo Nakamura,0.000146073,11
Kicks n Licks,0.000145996,15
Aesop Rock,0.000144927,12
Rae & Christian,0.000144842,17
Lo Fidelity Allstars,0.000144527,32
Snoop Dogg,0.000144385,48
Bradley D. Hinkle,0.000143987,13
Shapednoise,0.00014367,14
Del the Funky Homosapien,0.000143492,34
𝙟☆𝙣𝙠𝙤!,0.00014316,47
Grimes,0.000143005,17
Plastician,0.000142857,24
Kururu*Bloom Records,0.000142611,11
The Beatnuts,0.000141657,26
Davwuh,0.000141349,11
Warvadal,0.000140876,13
Spose,0.000140611,59
sampling masters AYA,0.00014016,14
Moby,0.000140142,27
Nicolas Repac,0.000139816,11
Broken Chip,0.000139816,12
4thImpulse,0.000139816,11
Patrice Bäumel,0.000139764,15
Souls of Mischief,0.000139489,29
Vrey Is Grey,0.000139411,16
Depeche Mode,0.00013939,21
Basement Jaxx,0.000139294,27
KRS‐One,0.000139286,12
RubyChan's Nightcore,0.000138731,13
Klub des Loosers,0.000138575,10
The Roots,0.000138324,18
chris†††,0.000138171,27
Hilltop Hoods,0.000137755,20
King Tubby,0.000137626,15
かんな,0.000137449,21
The Glitch Mob,0.000137416,24
Casio Lamb,0.000137335,15
Dave Clarke,0.000137265,12
Will Quadflieg,0.000136961,17
Coconut Hemluck,0.000136885,20
Mr. Sam,0.000136271,8
SiIvaGunner,0.000136007,20
Swami Sound,0.000135472,1
A$AP Rocky,0.000134477,20
Immoskyl,0.000134459,10
Zack Fox,0.000134223,19
Barry Adamson,0.000133981,8
bumbum,0.000133624,3
Ryan Griffin,0.00013356,10
The Game,0.000133482,30
Zéphyr 21,0.000133281,15
Bryan Gee,0.00013302,18
Chuckie Nugget,0.000132969,50
Carlos Bess,0.000132316,17
Mere Notilde,0.00013231,12
Hithouse,0.000131712,33
Chongo,0.000131707,39
Public Enemy,0.000131166,49
Pro>Tech,0.000131009,11
Foxfall,0.000130431,14
The Lions,0.000130257,12
Bukiko,0.00013015,16
The Slew,0.000129475,11
Diplo,0.000129156,12
4lung,0.000128969,37
Kenny Jaymes,0.000128928,26
Sunryze,0.000128512,13
G Jones,0.000128464,18
Geier Sturzflug,0.00012837,9
Mr. Scruff,0.000128256,15
The KLF,0.000128207,36
Roland Cristal,0.000128098,12
Sorry about my face,0.000128027,10
Curse,0.000127903,12
Trackademicks,0.000127777,2
"Tyler, The Creator",0.000127553,18
玉置成実,0.000127303,9
Oneohtrix Point Never,0.000127303,9
Kaleidor,0.000127303,16
JOYRYDE,0.000127051,18
sleeper.spaceborn,0.00012704,9
Current Value,0.000126267,14
Big Pun,0.0001258,36
Mariah Carey,0.000125639,31
Armand van Helden,0.000125586,27
szjdfgs,0.000125131,2
かたぎり,0.000125092,16
selfworth,0.000124946,18
J Dilla,0.000124732,28
Duck Sauce,0.000124591,15
Lost,0.000124397,3
Charli xcx,0.000124155,20
Dr. Waumiau,0.00012354,12
Mounika.,0.000123515,19
LL Cool J,0.000123291,42
Gaszia,0.000123123,12
Titus Jones,0.00012302,72
Northern Lite,0.000122915,2
Sir Warts on my Cock III,0.000122886,8
BlaDesa,0.00012263,11
Tufos Mashups,0.000122537,29
Desired,0.000122511,15
Knife Party,0.000122444,17
Zebra,0.000122278,34
Digable Planets,0.000122037,53
eufrik,0.00012194,16
FOR THE CVLTVRE,0.000121518,10
David Begun,0.000121429,25
sampling masters MEGA,0.000121397,18
FutanariVorestep.exe,0.000121373,21
Rune Lindbæk,0.000121046,9
guilhox,0.000120597,13
Front Line Assembly,0.000120266,19
Grandpamini,0.000119521,15
The Others,0.000119485,15
Brandhärd,0.000119374,1
Hatcha,0.000119321,20
Yari,0.000119117,12
Derek Minor,0.000119048,14
DJ Y Alias JY,0.000119017,43
Lootpack,0.000118607,22
Iras,0.000118254,14
Ivan B,0.000118145,17
Joseph James,0.000117852,24
House of Pain,0.000117648,27
small mistake,0.000117188,4
Bad Sex,0.000116951,12
49ers,0.000116736,19
Nick OD,0.000116728,18
Aceyalone,0.000116267,20
S3RL,0.000115802,17
MabelSama,0.000115744,10
Athom,0.00011562,28
Beck,0.000115488,18
P.O.S,0.000115484,12
Copycat,0.000115315,8
Way Out West,0.000114941,17
Charles Webster,0.000114789,10
和泉幸奇,0.000114163,4
Amen,0.000114069,1
MachineCode,0.000113959,15
The Lonely Island,0.000113304,13
death’s dynamic shroud,0.000113282,28
Eneff12,0.000113077,29
Mac Miller,0.000112968,21
Sandra Kolstad,0.000112172,1
DJ Supreme,0.000112062,4
DJPoyoshi,0.000112056,15
Brainkiller Prodigy,0.000111845,21
Dr. Dre,0.000111457,45
Midcall,0.000111355,28
奈多出 呼々,0.000111247,6
Lafidki,0.000111035,9
Flosstradamus,0.000111034,14
Goldie,0.000111002,2
Envy,0.000110953,8
DJ Screw,0.000110346,12
White Noise Mashups,0.00011033,31
r u s s e l b u c k,0.000110289,16
DJ Silence,0.000110208,9
clipping.,0.000110178,19
Daniel Saylor,0.000110143,22
Psilodump,0.000109964,2
College,0.000109718,10
16bard,0.000109284,17
beat_shobon,0.000109197,23
The Airport District,0.000108927,20
God Body Disconnect,0.000108532,8
OpenPoetry,0.000108532,8
Ninjasonik,0.000108308,10
Skepta,0.000108241,20
Too Phat,0.000107812,16
RJD2,0.000107704,9
todos,0.000107281,12
Pop Up!,0.000107071,14
Toni Peret,0.00010687,9
KatazTrophee,0.000106678,47
Smokin Suckaz Wit Logic,0.000106633,24
Bad Bunny,0.000106498,5
Mega Ran,0.000105878,25
nect4r,0.000105732,10
Jive Bunny & the Mastermixers,0.000105613,15
Gnarls Barkley,0.000105404,10
Kid Cudi,0.000105367,14
116,0.000105239,18
Toadface,0.000104863,11
Power Music Workout,0.000104834,24
T.I.,0.000104307,13
The Future Sound of London,0.000104251,38
Dilated Peoples,0.000104097,13
Nightmares on Wax,0.000104096,17
Zadig the Jasp,0.000104063,11
Spin 4th,0.000103915,1
Mabinogion,0.000103883,12
Loo & Placido,0.000103867,26
Macy Gray,0.000103823,7
Sapaa,0.00010353,1
duncathan,0.00010353,1
Reflection Eternal,0.000103426,21
hujiba,0.000103305,39
-... .. --. ..-. .- --.,0.000103186,69
999 Heartake Sabileye,0.00010289,11
Troy Sands,0.000102664,9
Buddy Peace,0.000102541,19
Asterisk,0.000102534,11
Rehirable,0.000102337,2
梶迫迅八,0.000102276,7
Mike G,0.000102025,4
ATEEZ,0.000101998,3
THE BOYZ,0.000101998,3
Groove Armada,0.000101738,15
Moody Good,0.000101451,14
FLY,0.000101417,8
赤卵,0.000101369,11
I’ve,0.000101276,15
SL2,0.000101077,12
Thom Yorke,0.000100905,11
Pusha T,0.000100749,4
Trevor Something,0.000100737,12
Scion,0.000100621,28
Richie Hawtin,0.000100558,14
Jack Harlow,0.000100546,18
Saint Etienne,0.000100526,12
Richard X,0.000100292,8
girldick,0.000100252,6
Dyro,0.00010019,9
Black Sun Empire,0.000100161,10
DJ Animebby,9.98843e-05,2
DiGiTAL WiNG,9.98633e-05,12
Akon,9.91697e-05,6
Yaggfu Front,9.88976e-05,17
JAMONMEAT,9.87251e-05,21
Takanashi Sachiko,9.8631e-05,20
DJ Erndogg,9.86174e-05,13
Run‐D.M.C.,9.85334e-05,16
Darth & Vader,9.82463e-05,10
reach,9.81944e-05,16
Mik,9.81044e-05,8
Soprano,9.76687e-05,19
$uicideboy$,9.7545e-05,15
Megan Thee Stallion,9.70703e-05,20
Kouek,9.69574e-05,14
Rick Ross,9.67879e-05,22
Kill Bill: The Rapper,9.6606e-05,5
Will Smith,9.6557e-05,33
Fettes Brot,9.64234e-05,10
miwafoxl,9.64015e-05,8
Mr. Hoosteen,9.61457e-05,10
Mindwarden,9.60188e-05,7
Ark Patrol,9.60188e-05,7
Dubmood,9.60188e-05,7
Anamanaguchi,9.60124e-05,27
Shako el SH,9.59375e-05,6
X‐Ecutioners,9.59128e-05,18
Charlotte Plank,9.58187e-05,1
Grimm,9.58187e-05,1
CityOfFeelings,9.58103e-05,14
DJ Kuroneko,9.58085e-05,14
Skrillex,9.57328e-05,15
Airis,9.55818e-05,8
Jon Hitchen,9.46277e-05,7
Dj CUTMAN,9.46199e-05,12
Beefjerky007,9.40499e-05,76
Gotye,9.39332e-05,9
MagnaDrake,9.39332e-05,12
Futuramerlin,9.39109e-05,9
Indra,9.35544e-05,2
3rd Bass,9.35395e-05,34
LTJ Bukem,9.34324e-05,12
Dr. Octagon,9.29893e-05,19
Tor,9.28592e-05,15
camoufly,9.2496e-05,21
Zeds Dead,9.24524e-05,14
Fugees,9.20988e-05,25
Death Grips,9.2081e-05,19
Mindelixir,9.19318e-05,8
Wizkid,9.17577e-05,13
Majestic 12,9.16863e-05,13
Xlos,9.15465e-05,8
Ice‐T,9.14757e-05,35
DJ Crazy Chris,9.14e-05,33
Metro Boomin,9.111e-05,9
SZA,9.07207e-05,9
Portishead,9.05536e-05,14
Cosmic Latte,9.05427e-05,30
ZYTOKINE,9.05365e-05,10
Geshtro,9.01114e-05,24
Kevin McCraney,9.00058e-05,22
DJ Soina,8.9919e-05,15
Litehouse,8.99069e-05,21
vincent 20angels,8.98234e-05,1
SU0MIF0X!,8.98234e-05,1
yumeHolic,8.98234e-05,1
John McWhorter,8.97863e-05,11
Muslimgauze,8.97621e-05,20
Graeme Le Saux,8.97621e-05,6
Psychic TV,8.97621e-05,9
Wugazi,8.96063e-05,28
荒御霊,8.9326e-05,8
喜多條敦志,8.91923e-05,10
Aditi Singh Sharma,8.91535e-05,2
Go Yama,8.90806e-05,15
Blank Banshee,8.90778e-05,18
Christina Aguilera,8.89407e-05,10
Bassnectar,8.87339e-05,10
DJ Nix’on,8.87025e-05,7
Matt Prasty,8.85721e-05,12
sonnov,8.8541e-05,15
wait what,8.83502e-05,22
The Go! Team,8.82231e-05,11
Jarreau Vandal,8.82142e-05,4
Little Boots,8.80816e-05,6
Erothyme,8.80392e-05,2
Ludacris,8.79415e-05,20
Deft,8.77817e-05,8
Victor Serna,8.77605e-05,53
Joey Valence & Brae,8.77518e-05,19
The Evolution Control Committee,8.77033e-05,32
Against All Logic,8.76215e-05,12
Missy Elliott,8.71655e-05,16
Ice Cube,8.69054e-05,48
Jennifer Lopez,8.68719e-05,29
State of Mind,8.67553e-05,4
ccc,8.67426e-05,54
Peter Schilling,8.66337e-05,7
Rezodrone,8.66337e-05,17
Earl Sweatshirt,8.66319e-05,12
Cam’ron,8.64506e-05,26
Rusko,8.61413e-05,16
Blumentopf,8.60469e-05,5
Guru,8.59774e-05,22
Simon Harris,8.59587e-05,30
yumenxc,8.59327e-05,10
Inhumanz,8.5839e-05,35
kity,8.57987e-05,1
Schwester S.,8.57349e-05,4
4hero,8.54405e-05,19
Turbo,8.53475e-05,14
Breakmaster Cylinder,8.53098e-05,19
hummingdeath,8.52318e-05,6
