brazilian_source_track,times_sampled_total,by_brazil,by_foreign
Jorge Ben Jor — Cinco minutos (5 minutos) (1974) [Brazil],1,0,1
Eumir Deodato — Also sprach Zarathustra (2000) [Brazil],1,0,1
Cazuza — Faz parte do meu show (1988) [Brazil],1,0,1
Sepultura — Lookaway (1996) [Brazil],1,0,1
CSS — Music Is My Hot Hot Sex (2005) [Brazil],1,0,1
Cazuza — O nosso amor a gente inventa (História romântica) (1987) [Brazil],1,0,1
Eumir Deodato — Pavane for a Dead Princess (1973) [Brazil],1,0,1
Barbatuques — Baianá (2016) [Brazil],1,0,1
Banda Black Rio — Casa forte (2000) [Brazil],1,0,1
Urbandawn — Trindade (2014) [Brazil],1,0,1
Amon Tobin — Twelvses (2009) [Brazil],1,0,1
"Tom Zé — Jimmy, renda-se (2005) [Brazil]",1,0,1
Alok — Universo Paralello (2016) [Brazil],1,0,1
Edu Lobo — Zum-zum (2004) [Brazil],1,0,1
Dom La Nena — Batuque (2013) [Brazil],1,0,1
Mystifier — Give the Human Devil His Due (1996) [Brazil],1,0,1
Digital Waves — Wicked (2016) [Brazil],1,0,1
Djavan — Nereci (1978) [Brazil],1,0,1
Eumir Deodato — Keep On Movin’ (12″ version) (1982) [Brazil],1,0,1
Waldir Calmon — Airport Love Theme (1970) [Brazil],1,0,1
Amon Tobin — Sordid (1998) [Brazil],1,0,1
Machina Pensant — ホノルル (2020) [Brazil],1,0,1
Machina Pensant — インフィニティループ (2020) [Brazil],1,0,1
Machina Pensant — 無題 (2020) [Brazil],1,0,1
Alok — Tell Me Why (VIP mix) (2019) [Brazil],1,0,1
Alok — Deep Down (Nathan Dawe remix) (2022) [Brazil],1,0,1
Barbatuques — Baiana (CloZee remix) (2012) [Brazil],1,0,1
Sérgio Mendes & Brasil ’66 — Tim Dom Dom (1966) [Brazil],1,0,1
The Magnetic Sounds — Super Erótica (1999) [Brazil],1,0,1
Amon Tobin — Like Regular Chickens (Dillinja mix) (1998) [Brazil],1,0,1
Earthspace — The Law of Attraction (Ilai remix) (2022) [Brazil],1,0,1
Antônio Carlos Jobim — Tereza My Love (1970) [Brazil],1,0,1
Sepultura — Morbid Visions (1986) [Brazil],1,0,1
Unreal — Drop Dead (2016) [Brazil],1,0,1
Tim Maia — Rational Culture (2006) [Brazil],1,0,1
MC Binn — Bololo Haha (2017) [Brazil],1,0,1
Cartola — Preciso me encontrar (1976) [Brazil],1,0,1
Mandrake Som — Berimbau (Bongo Re-Edit) (2001) [Brazil],1,0,1
Sérgio Mendes & Brasil ’66 — Cinnamon and Clove (1967) [Brazil],1,0,1
Racionais MC’s — Voz ativa (versão rádio) (1992) [Brazil],1,0,1
Tim Maia — O trem (1982) [Brazil],1,0,1
Astrud Gilberto — Manhã de Carnaval (1965) [Brazil],1,0,1
Antônio Carlos Jobim — Poética (2000) [Brazil],1,0,1
Sérgio Mendes — Magalenha (1992) [Brazil],1,0,1
Airto Moreira — Samba De Flora (1994) [Brazil],1,0,1
Airto Moreira — Samba de flora (1989) [Brazil],1,0,1
Jorge Antunes — Cinta Cita (2009) [Brazil],1,0,1
Cazuza — O Tempo Não Pára (1988) [Brazil],1,0,1
Cazuza — Brasil (1988) [Brazil],1,0,1
Rodrigo Amarante — Tuyo (2015) [Brazil],1,0,1
Cement Tea — Deadly Death Is Deadly (2021) [Brazil],1,0,1
Astrud Gilberto — I Will Wait for You (1966) [Brazil],1,0,1
Cazuza — Codinome Beija-flor (1985) [Brazil],1,0,1
Wrecked Machines — Mutherfunker (2007) [Brazil],1,0,1
Barão Vermelho — Por que a gente é assim? (2002) [Brazil],1,0,1
Bombo Rosa — Birds (2014) [Brazil],1,0,1
Bombo Rosa — Make It Bang (2016) [Brazil],1,0,1
Bombo Rosa — BRZL (2015) [Brazil],1,0,1
Moonsailor — Back Home (2020) [Brazil],1,0,1
Jam Thieves — Wicked (2022) [Brazil],1,0,1
Astrud Gilberto — Touching You (1972) [Brazil],1,0,1
Amon Tobin — Creatures (Hidden Agenda Defocussed mix) (1997) [Brazil],1,0,1
Amon Tobin — Reanimator (1998) [Brazil],1,0,1
Caetano Veloso — Depois que o Ilê passar (1987) [Brazil],1,0,1
Os Mutantes — Ave Lúcifer (1970) [Brazil],1,0,1
Os Cariocas — Tambem Quem Mandou (1974) [Brazil],1,0,1
Amon Tobin — The Nasty (1997) [Brazil],1,0,1
Cujo — Traffic (1996) [Brazil],1,0,1
Amon Tobin — Wires & Snakes (1997) [Brazil],1,0,1
heaven silhouettes — Silhouette Machine (2023) [Brazil],1,0,1
Sérgio Mendes — Mas que nada (2006) [Brazil],1,0,1
Sepultura — Ratamahatta (1996) [Brazil],1,0,1
Amon Tobin — Melody Infringement (1998) [Brazil],1,0,1
Burn in Noise — Edge of Sanity (2018) [Brazil],1,0,1
Walter Wanderley — Summer Samba (1966) [Brazil],1,0,1
Barbatuques — Ayú (2015) [Brazil],1,0,1
Paulinho da Costa — Toledo Bagel (2006) [Brazil],1,0,1
Luiz Bonfá — Bahia Soul (1968) [Brazil],1,0,1
Felguk — All Night Long (Darth & Vader mix) (2011) [Brazil],1,0,1
Wrecked Machines — Real Pimp Never Gets Caught (2004) [Brazil],1,0,1
Felguk — Shine On (2013) [Brazil],1,0,1
Gal Costa — Passarinho (1973) [Brazil],1,0,1
Luiz Henrique — Popcorn (-1) [Brazil],1,0,1
Gabe — Time to Relax (Left/Right remix) (2017) [Brazil],1,0,1
Bonde do Rolê — Bang (2012) [Brazil],1,0,1
Marcos Valle — Ele e ela (1970) [Brazil],1,0,1
Amon Tobin — Easy Muffin (1997) [Brazil],1,0,1
Djavan — Asa (-1) [Brazil],1,0,1
Sepultura — Troops of Doom (-1) [Brazil],1,0,1
Chico Science — Amor de Muito (1996) [Brazil],1,1,0
Ricardo Donoso — The Redeemer (2013) [Brazil],1,1,0
MOSQ — Soul Phrase -reload- (2026) [Brazil],1,1,0
Marilia Gabriela — Uatzapi Blues (2021) [Brazil],1,1,0
Bibi Babydoll — Automotivo Bibi fogosa (2023) [Brazil],1,1,0
Azymuth — Periscópio (1975) [Brazil],1,1,0
Detonautas Roque Clube — Outro Lugar (Dan Mattos e DeepDelic remix) (extended version) (2020) [Brazil],1,1,0
Thaíde & DJ Hum — Corpo fechado (2001) [Brazil],1,1,0
Sérgio Mendes & Brasil ’66 — Mas que nada (1966) [Brazil],1,1,0
Sérgio Mendes & Brasil ’66 — The Frog (1967) [Brazil],1,1,0
Gilberto Gil — Aquele abraço (1996) [Brazil],1,1,0
Acuna — I’ll Be Gone (2013) [Brazil],1,1,0
Rouge — 1000 segredos (2002) [Brazil],1,1,0
Lorena Simpson — Breathe Again - Extended Version (2012) [Brazil],1,1,0
Cement Tea — Yuno's Weird Nightmares (2020) [Brazil],1,1,0
Flavia Coelho — Nosso Amor (2019) [Brazil],1,1,0
GUSTAVOEGATOTV — Travei na Pose (2021) [Brazil],1,1,0
Föxx Salema — Emotional Rain (2019) [Brazil],1,1,0
GUSTAVOEGATOTV — FELINE (2024) [Brazil],1,1,0
Barbatuques — Baianá (2018) [Brazil],1,1,0
hummingdeath — underneath the ruin (2020) [Brazil],1,1,0
hummingdeath — 𝙩𝙚𝙘𝙝𝙨𝙪𝙞𝙘𝙞𝙙𝙚 << (2020) [Brazil],1,1,0
hummingdeath — glance (2021) [Brazil],1,1,0
hummingdeath — speaktothevoid (2020) [Brazil],1,1,0
unknownsignals — depletion (2019) [Brazil],1,1,0
unknownsignals — find myself around never (2019) [Brazil],1,1,0
Léo Leobons — Caboclo (2018) [Brazil],1,1,0
Wanessa Camargo — Fora Do Radar (2023) [Brazil],1,1,0
Elowinz — 12 Works (2013) [Brazil],1,1,0
Amon Tobin — Kokubo Sosho Stealth (2005) [Brazil],1,1,0
Darth & Vader — Return of the Jedi (2011) [Brazil],1,1,0
Falamansa — Rindo à toa (2000) [Brazil],1,1,0
Gabi Luthai — Ela tá voando (2021) [Brazil],1,1,0
Dom La Nena — Quién podrá saberlo (2021) [Brazil],1,1,0
Retrigger — Duck You Sucker! (2007) [Brazil],1,1,0
Bebel Gilberto — River Song (2004) [Brazil],1,1,0
Astrud Gilberto — Berimbau (1966) [Brazil],1,1,0
Bhaskar — Não Sei Parar (2023) [Brazil],1,1,0
Bea Duarte — Antes de sair (2020) [Brazil],1,1,0
Felguk — 2nite (2021) [Brazil],1,1,0
Cement Tea — Mofu Mofu (2020) [Brazil],1,1,0
Natur — Fusion Dub III (2023) [Brazil],1,1,0
HNQO — I'm Lost in the Groove (2023) [Brazil],1,1,0
Léo Leobons — Ogún (2018) [Brazil],1,1,0
Luka — Tô nem aí (2003) [Brazil],1,1,0
Lia Clark — Tome Curtindo (2016) [Brazil],1,1,0
Diogo Strausz — Junto de Nós (2024) [Brazil],1,1,0
Pedra Branca — Novo Testamento (2011) [Brazil],1,1,0
Marcos & Belutti — Aquele 1% (2015) [Brazil],1,1,0
Gilberto Gil — Essa é pra tocar no rádio (1992) [Brazil],1,1,0
Amon Tobin — El Cargo (2005) [Brazil],1,1,0
GUSTAVOEGATOTV — Tô Ficando Louco (2020) [Brazil],1,1,0
Amon Tobin — Carry on Marmaduke (2011) [Brazil],1,1,0
GUSTAVOEGATOTV — PÓS-LICEU (2050) (2025) [Brazil],1,1,0
KARAN! — TAPANÁ (2022) [Brazil],1,1,0
Amon Tobin — Ruthless (2005) [Brazil],1,1,0
Funk Buia — Ragga'Rap (2013) [Brazil],1,1,0
GUSTAVOEGATOTV — Ô Meu Deus Wanna Pum! (2020) [Brazil],1,1,0
Maria Rita — Lamento Africa / Rictus (1988) [Brazil],1,1,0
JetLag Music — Trem-Bala (2017) [Brazil],1,1,0
Banda Eva — Eva (1997) [Brazil],1,1,0
Sérgio Mendes & Brasil ’66 — Ye‐Me‐Le (1980) [Brazil],1,1,0
Los Hermanos — A flor (2004) [Brazil],1,1,0
Racionais MC’s — V.L. (parte II) (2002) [Brazil],1,1,0
GUSTAVOEGATOTV — Pista 5.0 (2023) [Brazil],1,1,0
Bebel Gilberto — Aganju (2008) [Brazil],1,1,0
Metá Metá — Obatalá (2010) [Brazil],1,1,0
Eumir Deodato — Also sprach Zarathustra (2001) (1973) [Brazil],1,1,0
Vintage Culture — Love or Hate (2024) [Brazil],1,1,0
Felguk — All Night Long (2008) [Brazil],1,1,0
Flavia Coelho — Periferia (2010) [Brazil],1,1,0
Bea Duarte — Mar (2023) [Brazil],1,1,0
Azymuth — Caça a raposa (1975) [Brazil],1,1,0
Planet Hemp — Legalize Já (1995) [Brazil],1,1,0
Critycal Dub — Welcome to the Jungle (2016) [Brazil],1,1,0
DJ Chap — Emperor (2016) [Brazil],1,1,0
Alibi — Oxygen (2016) [Brazil],1,1,0
DJ Chap — Like a Fyah VIP (2016) [Brazil],1,1,0
Alibi — Overaged (2016) [Brazil],1,1,0
Level 2 — Born to Run (2016) [Brazil],1,1,0
L‐Side — Turbulence VIP (2016) [Brazil],1,1,0
Level 2 — All I Would to Say (2016) [Brazil],1,1,0
Banda Uó — Catraca (2014) [Brazil],1,1,0
Different Stage — The Game (extended mix) (2024) [Brazil],1,1,0
Amon Tobin — Kokubo Sosho Battle (2005) [Brazil],1,1,0
Kid Abelha — Pintura íntima (1984) [Brazil],1,1,0
Vintage Culture — Eyes (2015) [Brazil],1,1,0
Elekfantz — Blush (radio edit) (2016) [Brazil],1,1,0
Alok — Big Jet Plane (Scorsi remix) (2018) [Brazil],1,1,0
Alas — Just Say (2022) [Brazil],1,1,0
Cement Tea — Doppelganger (2020) [Brazil],1,1,0
DJ Chap — Midnight Love (dRamatic & dbAudio remix) (2013) [Brazil],1,1,0
Urbandawn — Astrolabe (2012) [Brazil],1,1,0
Bebel Gilberto — Samba da benção (2000) [Brazil],1,1,0
Kelly Key — Controle (2015) [Brazil],1,1,0
Widescream — Funky Town (2011) [Brazil],1,1,0
O Rappa — Monstro invisível (2008) [Brazil],1,1,0
Alok — Love Is a Temple (Scorsi remix) (2018) [Brazil],1,1,0
Eric Farias — My Time Is Now (2011) [Brazil],1,1,0
Racionais MC’s — Pânico na Zona Sul (1990) [Brazil],1,1,0
