corridor_deriv_draws_from_source,weight
classical → baroque,16
classical → jazz,16
deep house → deep techno,16
gangsta rap → jazz,16
k-pop → dance-pop,16
progressive house → midtempo bass,16
progressive house → techno,16
darksynth → synthwave,16
classic rock → pop,16
dance-pop → pop rock,16
breakcore → dubstep,16
downtempo → alternative pop,16
downtempo → folktronica,16
art rock → indie rock,16
idol kayō → kayōkyoku,16
broken beat → alternative rock,16
breakbeat → dancehall,16
britpop → rock,16
uk hardcore → electronic,16
trap edm → electronic,16
east coast hip hop → soul,16
abstract hip hop → hip hop,16
idm → experimental hip hop,16
dariacore → dance-pop,16
baroque pop → electro,16
industrial metal → industrial,16
avant-garde → ambient,16
singer-songwriter → neo soul,16
dream pop → rock,16
nightcore → electronic,16
ambient → ambient pop,15
electronic → noise rock,15
electronic → uk hardcore,15
electronic → ambient house,15
hip hop → cloud rap,15
hip hop → electro house,15
rock → post-hardcore,15
rock → j-pop,15
rock → j-rock,15
pop → pop rap,15
pop → electro house,15
disco → k-pop,15
house → soul,15
house → rock,15
electro → dark electro,15
j-pop → techno,15
dance → r&b,15
dance → synth-pop,15
dance → reggae,15
edm → future bass,15
club → dance,15
dubstep → downtempo,15
indie rock → folk pop,15
contemporary r&b → dance-pop,15
big beat → house,15
alternative rock → ambient,15
alternative rock → heavy metal,15
funk → disco,15
industrial → alternative metal,15
latin → hip hop,15
downtempo → breaks,15
heavy metal → power metal,15
heavy metal → hard rock,15
rock and roll → blues,15
rock and roll → rock,15
black metal → thrash metal,15
j-rock → j-pop,15
atmospheric drum and bass → acid techno,15
acid jazz → downtempo,15
synthwave → darksynth,15
halftime → electronic,15
aor → city pop,15
hardcore techno → electronic,15
speedcore → breakcore,15
ambient → techno,14
electronic → ambient techno,14
electronic → post-punk,14
electronic → britpop,14
electronic → bubblegum bass,14
hip hop → philly soul,14
hip hop → afrobeat,14
hip hop → dance-pop,14
hip hop → soft rock,14
hip hop → big band,14
hip hop → country,14
rock → psychedelic rock,14
rock → art rock,14
rock → rock and roll,14
drum and bass → disco,14
drum and bass → house,14
house → ebm,14
house → electro house,14
experimental → dance,14
experimental → nu metal,14
experimental → classical,14
experimental → pop rap,14
electro → drum and bass,14
electropop → hip hop,14
j-pop → alternative rock,14
j-pop → rock,14
dance → breakbeat,14
dance → club,14
breaks → funk,14
alternative r&b → r&b,14
techno → idm,14
emo → alternative rock,14
r&b → disco,14
dubstep → trap edm,14
alternative dance → indietronica,14
complextro → dubstep,14
contemporary r&b → neo soul,14
big beat → disco,14
big beat → techno,14
drone → ambient,14
alternative rock → alternative dance,14
alternative rock → dark wave,14
soul → funk,14
funk → rock,14
funk → jazz,14
trance → progressive house,14
trance → deep house,14
art rock → pop,14
progressive rock → art rock,14
trap → electronic,14
trap → pop,14
dancehall → contemporary r&b,14
coldwave → electronic,14
acid house → pop,14
kayōkyoku → pop,14
boom bap → electronic,14
breakbeat → belgian techno,14
art pop → j-pop,14
uk garage → pop,14
chillwave → downtempo,14
idm → downtempo,14
dariacore → alternative rock,14
deep techno → electronic,14
denpa → electronic,14
festival progressive house → electronic,14
bounce → hip hop,14
dixieland → jazz,14
mashcore → electronic,14
new orleans r&b → r&b,14
trip hop → pop,14
contemporary jazz → jazz,14
ambient → new age,13
ambient → darksynth,13
ambient → acid jazz,13
ambient → funk,13
ambient → chillout,13
ambient → chillwave,13
electronic → grunge,13
electronic → bass house,13
electronic → pop rap,13
electronic → post-hardcore,13
electronic → blues rock,13
electronic → non-music,13
hip hop → breakbeat,13
hip hop → heavy metal,13
hip hop → garage rock,13
rock → emo,13
rock → gothic rock,13
drum and bass → jazz,13
drum and bass → dub,13
drum and bass → club,13
disco → jazz,13
house → big room house,13
experimental → electropop,13
electro → dubstep,13
dance → ballad,13
dance → complextro,13
breaks → lo-fi,13
reggae → electronic,13
emo → post-hardcore,13
r&b → rock,13
dubstep → future bass,13
classical → dance,13
hard rock → pop,13
country → pop,13
death metal → progressive metal,13
deep house → rock,13
gangsta rap → pop,13
bass house → dubstep,13
k-pop → electronic,13
dub → folk rock,13
dub → j-pop,13
progressive house → downtempo,13
big beat → rock,13
funk → r&b,13
jazz → bebop,13
jazz → contemporary jazz,13
jazz → pop,13
jazz → easy listening,13
jazz → downtempo,13
alternative pop → electronic,13
breakcore → cybergrind,13
industrial → psychedelic rock,13
electronica → pop,13
downtempo → blues,13
downtempo → j-rock,13
downtempo → disco,13
dancehall → pop,13
progressive metal → metal,13
blues rock → blues,13
filmi → pop,13
breakbeat → conscious hip hop,13
alternative metal → nu metal,13
